file_name	sample_id
../MIGEC/Output/Healthy_Controls/HC1.txt	HC1
../MIGEC/Output/Healthy_Controls/HC2.txt	HC2
../MIGEC/Output/Healthy_Controls/HC3.txt	HC3
../MIGEC/Output/Healthy_Controls/HC4.txt	HC4
../MIGEC/Output/Healthy_Controls/HC5.txt	HC5
../MIGEC/Output/Healthy_Controls/HC6.txt	HC6
../MIGEC/Output/Healthy_Controls/HC7.txt	HC7
../MIGEC/Output/Healthy_Controls/HC8.txt	HC8
../MIGEC/Output/Healthy_Controls/HC11.txt	HC11
../MIGEC/Output/Healthy_Controls/HC12.txt	HC12
../MIGEC/Output/Healthy_Controls/HC13.txt	HC13
../MIGEC/Output/Healthy_Controls/HC14.txt	HC14
../MIGEC/Output/Healthy_Controls/HC15.txt	HC15
../MIGEC/Output/Healthy_Controls/HC16.txt	HC16
../MIGEC/Output/Healthy_Controls/HC17.txt	HC17
../MIGEC/Output/Healthy_Controls/HC18.txt	HC18
../MIGEC/Output/Healthy_Controls/HC19.txt	HC19
../MIGEC/Output/Patients/P2.txt	P2
../MIGEC/Output/Patients/P3.txt	P3
../MIGEC/Output/Patients/P4.txt	P4
../MIGEC/Output/Patients/P6.txt	P6
../MIGEC/Output/Patients/P7.txt	P7
../MIGEC/Output/Patients/P8.txt	P8
../MIGEC/Output/Patients/P9.txt	P9
../MIGEC/Output/Patients/P10.txt	P10
../MIGEC/Output/Patients/P11.txt	P11
../MIGEC/Output/Patients/P12.txt	P12
../MIGEC/Output/Patients/P13.txt	P13
../MIGEC/Output/Patients/P14.txt	P14
../MIGEC/Output/Patients/P15.txt	P15
../MIGEC/Output/Patients/P16.txt	P16
../MIGEC/Output/Patients/P17.txt	P17
../MIGEC/Output/Patients/P18.txt	P18
../MIGEC/Output/Patients/P19.txt	P19
